id,movie_name,directed_by,produced_by,starring,music_by,distributed_by,running_time,country,language,edited_by
309,The Pacifier,Adam Shankman,"Roger Birnbaum, Gary Barber, Jonathan Glickman","Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow, Max Thieriot, Carol Kane, Brad Garrett",John Debney,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:35,United States,English,Christopher Greenbury
37,White Wilderness (film),James Algar,"Ben Sharpsteen, Walt Disney",,Oliver Wallace,Buena Vista Distribution,00:01:12,United StatesCanada,English,Norman R. Palmer
172,Wild Hearts Can't Be Broken,Steve Miner,Matt Williams,"Gabrielle Anwar, Michael Schoeffling, Cliff Robertson",Mason Daring,Buena Vista Pictures Distribution,00:01:28,United States,English,Jon Poll
105,"Run, Cougar, Run",Jerome Courtland,James Algar,"Stuart Whitman, Frank Aletter, Lonny Chapman, Douglas Fowley, Harry Carey Jr., Alfonso Arau",Buddy Baker,Buena Vista Distribution,00:01:27,United States,English,Gordon D. Brenner
93,The Computer Wore Tennis Shoes,Robert Butler,Bill Anderson,"Kurt Russell, Cesar Romero, Joe Flynn, William Schallert, Alan Hewitt",Robert F. Brunner,Buena Vista Distribution,00:01:31,United States,English,Cotton Warburton
267,The Hunchback of Notre Dame II,Bradley Raymond,Chris Henderson,"Tom Hulce, Jennifer Love Hewitt, Demi Moore, Kevin Kline, Haley Joel Osment, Michael McKean",Carl Johnson,Walt Disney Home Entertainment,00:01:08,United States,English,Colleen HalseyPeter Lonsdale
152,Tex (film),Tim Hunter,Tim Zinnemann,"Matt Dillon, Jim Metzler, Meg Tilly, Bill McKinney, Ben Johnson",Pino Donaggio,Buena Vista Distribution Company,00:01:43,United States,English,Howard E. Smith
187,Blank Check (film),Rupert Wainwright,Gary Adelson,"Karen Duffy, Brian Bonsall, Miguel Ferrer, James Rebhorn, Tone Lōc, Jayne Atkinson, Michael Lerner",Nicholas Pike,Buena Vista Pictures Distribution,00:01:34,United States,English,Jill Savitt
213,First Kid,David Mickey Evans,Roger Birnbaum,"Sinbad, Robert Guillaume, Timothy Busfield",Richard Gibbs,Buena Vista Pictures Distribution,00:01:41,United States,English,Harry Keramidas
170,White Fang (1991 film),Randal Kleiser,Markay Powell,"Klaus Maria Brandauer, Ethan Hawke, Seymour Cassel, James Remar, Susan Hogan","Basil Poledouris, Hans Zimmer",Buena Vista Pictures Distribution,00:01:47,United States,English,Lisa Day
154,Something Wicked This Way Comes (film),Jack Clayton,Peter Douglas,"Jason Robards, Jonathan Pryce, Diane Ladd, Pam Grier",James Horner,Buena Vista Distribution,00:01:35,United States,English,Barry Mark GordonArt J. Nelson
289,Brother Bear,"Aaron Blaise, Robert Walker",Chuck Williams,"Joaquin Phoenix, Jeremy Suarez, Rick Moranis, Dave Thomas, Jason Raize, D. B. Sweeney","Phil Collins, Mark Mancina",Buena Vista Pictures Distribution,00:01:25,United States,English,Tim Mertens
513,Haunted Mansion (2023 film),Justin Simien,Dan Lin,"LaKeith Stanfield, Tiffany Haddish, Owen Wilson, Danny DeVito, Rosario Dawson, Dan Levy, Jamie Lee Curtis, Jared Leto",Kris Bowers,Walt Disney Studios Motion Pictures,00:02:03,United States,English,Phillip J. Bartell
404,Secret of the Wings,Peggy Holmes,Makul Wigert,"Mae Whitman, Lucy Hale, Lucy Liu, Raven-Symoné, Megan Hilty, Timothy Dalton",Joel McNeely,"Walt Disney StudiosHome Entertainment, Walt Disney StudiosMotion Pictures",00:01:15,United States,English,Mark Rosenbaum
501,Hocus Pocus 2,Anne Fletcher,Lynn Harris,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Sam Richardson, Doug Jones, Whitney Peak, Belissa Escobedo, Tony Hale, Hannah Waddingham",John Debney,Disney+,00:01:43,United States,English,Julia Wong
74,The Monkey's Uncle,Robert Stevenson,"Ron Miller, Walt Disney","Tommy Kirk, Annette Funicello, Leon Ames, Frank Faylen, Arthur OConnell",Buddy Baker,Buena Vista Distribution,00:01:27,United States,English,Cotton Warburton
291,The Young Black Stallion,Simon Wincer,"Fred Roos, Frank Marshall",Richard Romanus,William Ross,Buena Vista Pictures Distribution,00:00:50,United States,English,Bud Smith
75,That Darn Cat!,Robert Stevenson,"Walt Disney, Ron W. Miller","Hayley Mills, Dean Jones, Dorothy Provine, Roddy McDowall, Neville Brand, Frank Gorshin",Robert F. Brunner,Buena Vista Distribution,00:01:56,United States,English,Cotton Warburton
329,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Jerry Bruckheimer,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy, Jack Davenport, Kevin R. McNally, Jonathan Pryce",Hans Zimmer,Buena Vista Pictures Distribution,00:02:30,United States,English,"Craig Wood, Stephen Rivkin"
437,Finding Dory,Andrew Stanton,Lindsey Collins,"Ellen DeGeneres, Albert Brooks, Hayden Rolence, Ed ONeill, Kaitlin Olson, Ty Burrell, Diane Keaton, Eugene Levy",Thomas Newman,Walt Disney StudiosMotion Pictures,00:01:37,United States,English,Axel Geddes
160,The Great Mouse Detective,"John Musker, Ron Clements, Burny Mattinson",Burny Mattinson,"Vincent Price, Barrie Ingham, Val Bettin, Candy Candido, Eve Brenner, Alan Young",Henry Mancini,Buena Vista Distribution,00:01:14,United States,English,
313,Sky High (2005 film),Mike Mitchell,Andrew Gunn,"Kelly Preston, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Kurt Russell",Michael Giacchino,Buena Vista Pictures Distribution,00:01:40,United States,English,Peter Amundson
420,Khoobsurat (2014 film),"Shashanka Ghosh, Shashanka Ghosh","Rhea Kapoor, Anil Kapoor, Siddharth Roy Kapur, Rhea KapoorAnil KapoorSiddharth Roy Kapur","Sonam Kapoor, Fawad Khan, Sonam KapoorFawad Khan","Sneha Khanwalkar, Badshah, Amaal Mallik",UTV Motion Pictures,00:02:07,India,Hindi,Bakul Matiyani
19,Peter Pan (1953 film),"Hamilton Luske, Clyde Geronimi, Wilfred Jackson",Walt Disney,"Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson, Heather Angel, Paul Collins, Candy Candido",Oliver Wallace,RKO Radio Pictures,00:01:17,United States,English,Donald Halliday
226,Mr. Magoo (film),Stanley Tong,Ben Myron,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Malcolm McDowell",Mike Tavera,Buena Vista Pictures Distribution,00:01:27,United States,English,Michael R. MillerStuart PappéDavid Rawlins
234,I'll Be Home for Christmas (1998 film),Arlene Sanford,"Robin French, Justis Greene, David Hoberman, Tracey Trench","Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Sean OBryan, Gary Cole",John Debney,Buena Vista Pictures Distribution,00:01:26,United States,English,Anita Brandt-Burgoyne
31,Secrets of Life,James Algar,"Ben Sharpsteen, Walt Disney",,Paul Smith,Buena Vista Distribution,00:01:10,United States,English,Anthony Gerard
255,102 Dalmatians,Kevin Lima,Edward S. Feldman,"Glenn Close, Ioan Gruffudd, Alice Evans, Tim McInnerny, Gérard Depardieu",David Newman,Buena Vista Pictures Distribution,00:01:40,United States,English,Gregory Perler
264,Snow Dogs,Brian Levant,Jordan Kerner,"Cuba Gooding Jr., James Coburn, Sisqó, Nichelle Nichols, Graham Greene",John Debney,Buena Vista Pictures Distribution,00:01:40,United States,English,Roger Bondelli
260,The Princess Diaries (film),Garry Marshall,"Whitney Houston, Debra Martin Chase","Anne Hathaway, Héctor Elizondo, Heather Matarazzo, Mandy Moore, Caroline Goodall, Robert Schwartzman, Julie Andrews",John Debney,Buena Vista Pictures Distribution,00:01:55,United States,English,Bruce Green
262,"Monsters, Inc.",Pete Docter,Darla K. Anderson,"John Goodman, Billy Crystal, Steve Buscemi, James Coburn, Jennifer Tilly, Mary Gibbs",Randy Newman,Buena Vista Pictures Distribution,00:01:32,United States,English,Robert GrahamjonesJim Stewart
269,Lilo & Stitch,"Chris Sanders, Dean DeBlois",Clark Spencer,"Chris Sanders, Chris SandersbDaveigh ChaseTia CarrereVing RhamesDavid Ogden StiersKevin McDonaldJason Scott LeeZoe CaldwellKevin Michael Richardson, Daveigh Chase, Tia Carrere, Ving Rhames, David Ogden Stiers, Kevin McDonald, Jason Scott Lee, Zoe Caldwell, Kevin Michael Richardson",Alan Silvestri,Buena Vista Pictures Distribution,00:01:26,United States,English,Darren T. Holmes
131,Pete's Dragon (1977 film),Don Chaffey,"Jerome Courtland, Ron W. Miller","Helen Reddy, Jim Dale, Mickey Rooney, Red Buttons, Jeff Conaway, Shelley Winters, Jane Kean, Jim Backus, Sean Marshall, Charlie Callas",Irwin Kostal,Buena Vista Distribution,00:02:08,United States,English,Gordon D. Brenner
271,The Country Bears,Peter Hastings,"Andrew Gunn, Jeffrey Chernov","Christopher Walken, Daryl Chill Mitchell, Diedrich Bader, Alex Rocco, Haley Joel Osment",Christopher Young,Buena Vista Pictures Distribution,00:01:28,United States,English,George Bowers
359,Race to Witch Mountain,Andy Fickman,Andrew Gunn,"Dwayne Johnson, AnnaSophia Robb, Carla Gugino, Ciarán Hinds, Alexander Ludwig, Tom Woodruff Jr., Garry Marshall, Tom Everett Scott, Cheech Marin, Chris Marquette",Trevor Rabin,Walt Disney StudiosMotion Pictures,00:01:38,United States,English,David Rennie
363,Up (2009 film),Pete Docter,Jonas Rivera,"Ed Asner, Christopher Plummer, Jordan Nagai",Michael Giacchino,Walt Disney StudiosMotion Pictures,00:01:36,United States,English,Kevin Nolting
86,Blackbeard's Ghost,Robert Stevenson,Bill Walsh,"Peter Ustinov, Dean Jones, Suzanne Pleshette",Robert F. Brunner,Buena Vista Distribution,00:01:46,United States,English,Robert Stafford
88,Never a Dull Moment (1968 film),Jerry Paris,Ron Miller,"Dick Van Dyke, Edward G. Robinson, Dorothy Provine",Robert F. Brunner,Buena Vista Distribution,00:01:39,United States,English,Marsh Hendry
515,Wish (film),"Chris Buck, Fawn Veerasunthorn",Peter Del Vecho,"Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral, Victor Garber, Natasha Rothwell, Harvey Guillén, Evan Peters, Ramy Youssef, Jon Rudnitsky","Dave Metzger, Julia Michaels",Walt Disney StudiosMotion Pictures,00:01:35,United States,English,Jeff Draheim
63,Savage Sam (film),Norman Tokar,Bill Anderson,"Brian Keith, Tommy Kirk, Marta Kristen, Kevin Corcoran, Dewey Martin, Jeff York, Rafael Campos",Oliver Wallace,Buena Vista Distribution,00:01:43,United States,English,Grant K. Smith
67,A Tiger Walks,Norman Tokar,Bill Anderson,"Brian Keith, Vera Miles, Pamela Franklin, Sabu, Edward Andrews, Una Merkel, Peter Brown",Buddy Baker,Buena Vista Distribution,00:01:31,United States,English,Grant K. Smith
60,In Search of the Castaways (film),Robert Stevenson,Walt Disney,"Maurice Chevalier, Hayley Mills, George Sanders, Wilfrid Hyde-White, Michael Anderson Jr., Antonio Cifariello","Morton Gould, Van Cleave, Jack Shaindlin, Richard M. Sherman, Robert B. Sherman",Buena Vista Distribution,00:01:38,United States,English,Gordon Stone
119,One of Our Dinosaurs Is Missing,Robert Stevenson,Bill Walsh,"Peter Ustinov, Helen Hayes, Clive Revill, Derek Nimmo",Ron Goodwin,Buena Vista Distribution,00:01:40,United KingdomUnited States,English,Peter Boita
163,The Man from Snowy River II,Geoff Burrowes,Geoff Burrowes,"Tom Burlinson, Sigrid Thornton, Brian Dennehy, Nicholas Eadie, Bryan Marshall, Mark Hembrow",Bruce Rowland,Hoyts Distribution,00:01:50,Australia,English,Gary Woodyard
180,Homeward Bound: The Incredible Journey,Duwayne Dunham,"Jeffrey Chernov, Franklin R. Levy","Michael J. Fox, Don Ameche, Sally Field, Robert Hays, Kim Greist, Veronica Lauren, Benj Thall",Bruce Broughton,Buena Vista Pictures Distribution,00:01:24,United States,English,Jonathan P. Shaw
282,The Lizzie McGuire Movie,Jim Fall,Stan Rogow,"Hilary Duff, Adam Lamberg, Robert Carradine, Hallie Todd, Jake Thomas",Cliff Eidelman,Buena Vista Pictures Distribution,00:01:34,United States,English,Margie Goodspeed
73,Emil and the Detectives (1964 film),Peter Tewksbury,Walt Disney,"Walter Slezak, Roger Mobley",Heinz Schreiter,Buena Vista Distribution,00:01:32,United States,English,Thomas Stanford
377,The Sorcerer's Apprentice (2010 film),Jon Turteltaub,Jerry Bruckheimer,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci",Trevor Rabin,Walt Disney StudiosMotion Pictures,00:01:49,United States,English,William Goldenberg
242,Hercules: Zero to Hero,Bob Kline,"Bob Schooley, Mark McCorkle","Tate Donovan, James Woods, Sandra Bernhard, Matt Frewer, Robert Stack, French Stewart, Barbara Barrie, Jodi Benson, Corey Burton, Robert Costanzo, Roz Ryan, Keith David, Paddi Edwards, Susan Egan, Samantha Eggar, Kathie Lee Gifford",Adam Berry,Walt Disney Home Video,00:01:10,United States,English,
144,Popeye (film),Robert Altman,Robert Evans,"Robin Williams, Shelley Duvall",Harry Nilsson,Buena Vista International,00:01:54,United States,English,John W. Holmes
201,Pocahontas (1995 film),"Mike Gabriel, Eric Goldberg",Jim Pentecost,"Christian Bale, Irene Bedard, Billy Connolly, Mel Gibson, Linda Hunt, John Kassir, Judy Kuhn, Russell Means, David Ogden Stiers, Michelle St. John, Gordon Tootoosis, Frank Welker",Alan Menken,Buena Vista Pictures Distribution,00:01:21,United States,English,H. Lee Peterson
206,Toy Story,John Lasseter,"Bonnie Arnold, Ralph Guggenheim","Tom Hanks, Tim Allen, Annie Potts, John Ratzenberger, Don Rickles, Wallace Shawn, Jim Varney",Randy Newman,Buena Vista Pictures Distribution,00:01:21,United States,English,Lee Unkrich
219,Hercules (1997 film),"John Musker, Ron Clements",Alice Dewey GoldstoneJohn MuskerRon Clements,"Tate Donovan, Danny DeVito, James Woods, Susan Egan",Alan Menken,Buena Vista Pictures Distribution,00:01:33,United States,English,Tom Finan
344,Enchanted (film),Kevin Lima,"Barry Josephson, Barry Sonnenfeld","Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",Alan Menken,Walt Disney Studios Motion Pictures,00:01:47,United States,English,Stephen A. Rotter
274,The Santa Clause 2,Michael Lembeck,"Robert Newmyer, Brian Reilly","Tim Allen, Elizabeth Mitchell, Judge Reinhold, Wendy Crewson, David Krumholtz, Eric Lloyd, Spencer Breslin, Liliana Mumy",George S. Clinton,Buena Vista Pictures Distribution,00:01:44,United States,English,David Finfer
432,The Finest Hours (2016 film),Craig Gillespie,Jim WhitakerDorothy Aufiero,"Chris Pine, Casey Affleck, Ben Foster, Holliday Grainger, John Ortiz, Eric Bana",Carter Burwell,"Walt Disney StudiosMotion Pictures, Walt Disney StudiosMotion Pictures",00:01:57,United States,English,Tatiana S. Riegel
422,Big Hero 6 (film),"Don Hall, Chris Williams",Roy Conli,"Scott Adsit, Ryan Potter, Daniel Henney, T. J. Miller, Jamie Chung, Damon Wayans Jr., Genesis Rodriguez, James Cromwell, Maya Rudolph, Alan Tudyk",Henry Jackman,Walt Disney StudiosMotion Pictures,00:01:42,United States,English,Tim Mertens
509,The Little Mermaid (2023 film),Rob Marshall,"Marc Platt, Lin-Manuel Miranda, John DeLuca","Halle Bailey, Jonah Hauer-King, Daveed Diggs, Awkwafina, Jacob Tremblay, Noma Dumezweni, Art Malik, Javier Bardem, Melissa McCarthy",Alan Menken,Walt Disney StudiosMotion Pictures,00:02:15,United States,English,Wyatt Smith
406,Oz the Great and Powerful,Sam Raimi,Joe Roth,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams, Zach Braff, Bill Cobbs, Joey King, Tony Cox",Danny Elfman,Walt Disney StudiosMotion Pictures,00:02:10,United States,English,Bob Murawski
336,Bridge to Terabithia (2007 film),Gábor Csupó,Hal Lieberman,"Josh Hutcherson, AnnaSophia Robb, Robert Patrick, Zooey Deschanel",Aaron Zigman,"Buena Vista Pictures Distribution, Summit Entertainment",00:01:35,United States,English,John Gilbert
490,The Last Warrior: A Messenger of Darkness,Dmitry Dyachenko,Kakhaber AbashidzeEduard IloyanVitaly ShlyappoDenis ZhalinskyAleksandr Kushaev,"Viktor Khorinyak, Mila Sivatskaya, Ekaterina Vilkova, Elena Yakovleva, Konstantin Lavronenko, Sergey Burunov, Yelena Valyushkina, Garik Kharlamov",George Kallis,Walt Disney Studios Motion Pictures International,00:01:48,Russia,Russian,
499,Rise (2022 film),Akin Omotoso,Bernie Goldmann,"Yetide Badaki, Dayo Okeniyi",Ré Olunuga,Disney+,00:01:51,United StatesGreece,"English, Greek",Vuyani Sondlo
421,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (film)",Miguel Arteta,"Shawn Levy, Lisa Henson","Steve Carell, Ed Oxenbould, Jennifer Garner",Christophe Beck,Walt Disney StudiosMotion Pictures,00:01:21,United States,English,Pamela Martin
520,Elio (film),Adrian Molina,Mary Alice Drumm,"America Ferrera, Jameela Jamil, Brad Garrett",,Walt Disney StudiosMotion Pictures,,United States,English,
183,Hocus Pocus (1993 film),Kenny Ortega,Steven Haft,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz, Thora Birch, Vinessa Shaw",John Debney,Buena Vista Pictures Distribution,00:01:36,United States,English,Peter E. Berger
108,Charley and the Angel,Vincent McEveety,Bill Anderson,"Fred MacMurray, Cloris Leachman, Harry Morgan, Kurt Russell","Paul J. Smith, Buddy Baker",Buena Vista Distribution,00:01:33,United States,English,Bob BringRay de Leuw
484,Raya and the Last Dragon,"Don Hall, Carlos López Estrada","Osnat Shurer, Peter Del Vecho","Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong, Sandra Oh, Thalia Tran, Lucille Soong, Alan Tudyk",James Newton Howard,Walt Disney StudiosMotion Pictures,00:01:47,United States,English,Fabienne RawleyShannon Stein
347,College Road Trip,Roger Kumble,Andrew Gunn,"Martin Lawrence, Raven-Symoné, Donny Osmond",Edward Shearmur,Walt Disney StudiosMotion Pictures,00:01:22,United States,English,Roger Bondelli
70,The Moon-Spinners,James Neilson,"Walt Disney, Bill Anderson","Hayley Mills, Eli Wallach, Peter McEnery, Joan Greenwood, Irene Papas, Pola Negri",Ron Grainer,Buena Vista Distribution,00:01:58,,English,Gordon Stone
87,"The One and Only, Genuine, Original Family Band",Michael O'Herlihy,Bill Anderson,"Walter Brennan, Buddy Ebsen, Lesley Ann Warren, John Davidson","Richard M. Sherman, Robert B. Sherman, Jack Elliott",Buena Vista Distribution,00:01:50,United States,English,Cotton Warburton
507,Peter Pan & Wendy,David Lowery,Jim Whitaker,"Jude Law, Alexander Molony, Ever Anderson, Yara Shahidi, Jim Gaffigan",Daniel Hart,Disney+,00:01:49,United States,English,Lisa Zeno Churgin
521,Out of My Mind (film),Amber Sealey,"Dan Angel, Peter Saraf","Rosemarie DeWitt, Luke Kirby, Judith Light",,Disney+,00:01:42,United States,English,Jacob Craycroft
112,Herbie Rides Again,Robert Stevenson,Bill Walsh,"Helen Hayes, Ken Berry, Stefanie Powers, Keenan Wynn, John McIntire",George Bruns,Buena Vista Distribution,00:01:28,United States,English,Cotton Warburton
155,Never Cry Wolf (film),Carroll Ballard,"Lewis Allen, Jack Couffer, Joseph Strick","Charles Martin Smith, Brian Dennehy",Mark Isham,Buena Vista Distribution,00:01:45,United States,English,Michael Chandler
