id,movie_name,directed_by,produced_by,starring,music_by,distributed_by,running_time,country,language,edited_by
12,Melody Time,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney","Walt Disney, Ben Sharpsteen","Roy Rogers, Trigger, Dennis Day, The Andrews Sisters, Fred Waring and the Pennsylvanians, Freddy Martin, Ethel Smith, Frances Langford, Buddy Clark","Eliot Daniel, Paul J. Smith, Ken Darby",RKO Radio Pictures,00:01:15,United States,English,Donald HallidayThomas Scott
15,Cinderella (1950 film),"Wilfred Jackson, Hamilton Luske, Clyde Geronimi","Walt Disney, Ben Sharpsteen","Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams, James MacDonald, Helene Stanley, Luis van Rooten, Don Barclay","Oliver Wallace, Paul Smith",RKO Radio Pictures,00:01:14,United States,English,Donald Halliday
83,The Jungle Book (1967 film),Wolfgang Reitherman,Walt Disney,"Phil Harris, Sebastian Cabot, Louis Prima, George Sanders, Sterling Holloway, J. Pat OMalley, Bruce Reitherman",George Bruns,Buena Vista Distribution,00:01:18,United States,English,Tom AcostaNorman Carlisle
6,Saludos Amigos,"Norman Ferguson, Wilfred Jackson, Jack Kinney, Hamilton Luske",Walt Disney,"Lee Blair, Mary Blair, Pinto Colvig, Walt Disney, Norman Ferguson, Frank Graham, Clarence Nash, José Oliveira, Frank Thomas","Paul Smith, Edward H. Plumb",RKO Radio Pictures,00:00:42,United States,English,
314,Valiant (film),Gary Chapman,John H. Williams,"Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent, Hugh Laurie, John Cleese, John Hurt, Pip Torrens, Rik Mayall, Olivia Williams",George Fenton,"Entertainment Film Distributors, Walt Disney Pictures, Buena Vista Pictures Distribution",00:01:16,United KingdomUnited States,English,Jim Stewart
301,The Princess Diaries 2: Royal Engagement,Garry Marshall,"Whitney Houston, Debra Martin Chase","Anne Hathaway, Heather Matarazzo, John Rhys-Davies, Héctor Elizondo, Julie Andrews, Chris Pine",John Debney,Buena Vista Pictures Distribution,00:01:53,United States,English,Bruce Green
4,Dumbo,"Ben Sharpsteen, Norman Ferguson, Wilfred Jackson, Jack Kinney",Walt Disney,"Edward Brophy, Verna Felton, Cliff Edwards, Herman Bing, Sterling Holloway, Hall Johnson Choir","Frank Churchill, Oliver Wallace",RKO Radio Pictures,00:01:04,United States,English,
368,The Book of Masters,Vadim Sokolovsky,"Leonid Vereshchagin, Marina Zhigalov-Ozkan",,Yuri Poteyenko,Walt Disney Studios Motion Pictures International,00:01:41,Russia,Russian,
192,Angels in the Outfield (1994 film),William Dear,"Joe Roth, Roger Birnbaum","Danny Glover, Tony Danza, Brenda Fricker, Ben Johnson, Jay O. Sanders, Christopher Lloyd",Randy Edelman,Buena Vista Pictures Distribution,00:01:42,United States,English,Bruce Green
137,The Apple Dumpling Gang Rides Again,Vincent McEveety,"Tom Leetch, Ron W. Miller","Tim Conway, Don Knotts, Tim Matheson, Kenneth Mars, Jack Elam","Paul J. Smith, Buddy Baker, Joseph S. Dubin",Buena Vista Distribution,00:01:28,United States,English,Gordon Brenner
